,IMG,Pti,Ptj,XPti,XPtj,XRefPti,XRefPtj,YPti,YPtj,YRefPti,YRefPtj,Distij,DistRefij
41,DSC00848_CLAHE_RGB.JPG,0,2,4018,697,958,696,2291,1403,1719,1406,3437.6714502697896,408.1825571971443
42,DSC00848_CLAHE_RGB.JPG,0,3,4018,4677,958,4675,2291,1753,1719,1753,850.7202830543068,3717.155498496128
43,DSC00848_CLAHE_RGB.JPG,0,4,4018,3561,958,3560,2291,2353,1719,2354,461.1865132459968,2678.363119519084
44,DSC00848_CLAHE_RGB.JPG,1,0,2680,4018,2678,958,1274,2291,1276,1719,1680.6347015339175,1776.1331594224573
45,DSC00848_CLAHE_RGB.JPG,1,2,2680,697,2678,696,1274,1403,1276,1406,1987.1914854890053,1986.2587948200505
46,DSC00848_CLAHE_RGB.JPG,1,3,2680,4677,2678,4675,1274,1753,1276,1753,2053.643104339213,2053.1775373795613
47,DSC00848_CLAHE_RGB.JPG,1,4,2680,3561,2678,3560,1274,2353,1276,2354,1392.9831298332367,1392.8416995480857
48,DSC00848_CLAHE_RGB.JPG,2,0,697,4018,696,958,1403,2291,1406,1719,3437.6714502697896,408.1825571971443
49,DSC00848_CLAHE_RGB.JPG,2,1,697,2680,696,2678,1403,1274,1406,1276,1987.1914854890053,1986.2587948200505
50,DSC00848_CLAHE_RGB.JPG,2,3,697,4677,696,4675,1403,1753,1406,1753,3995.359808577946,3994.1019015543407
51,DSC00848_CLAHE_RGB.JPG,2,4,697,3561,696,3560,1403,2353,1406,2354,3017.4485911113716,3016.819517306264
52,DSC00848_CLAHE_RGB.JPG,3,0,4677,4018,4675,958,1753,2291,1753,1719,850.7202830543068,3717.155498496128
53,DSC00848_CLAHE_RGB.JPG,3,1,4677,2680,4675,2678,1753,1274,1753,1276,2053.643104339213,2053.1775373795613
54,DSC00848_CLAHE_RGB.JPG,3,2,4677,697,4675,696,1753,1403,1753,1406,3995.359808577946,3994.1019015543407
55,DSC00848_CLAHE_RGB.JPG,3,4,4677,3561,4675,3560,1753,2353,1753,2354,1267.0659019956302,1266.6593859439877
56,DSC00848_CLAHE_RGB.JPG,4,0,3561,4018,3560,958,2353,2291,2354,1719,461.1865132459968,2678.363119519084
57,DSC00848_CLAHE_RGB.JPG,4,1,3561,2680,3560,2678,2353,1274,2354,1276,1392.9831298332367,1392.8416995480857
58,DSC00848_CLAHE_RGB.JPG,4,2,3561,697,3560,696,2353,1403,2354,1406,3017.4485911113716,3016.819517306264
59,DSC00848_CLAHE_RGB.JPG,4,3,3561,4677,3560,4675,2353,1753,2354,1753,1267.0659019956302,1266.6593859439877
