,IMG,Pti,Ptj,XPti,XPtj,XRefPti,XRefPtj,YPti,YPtj,YRefPti,YRefPtj,Distij,DistRefij
27,DSC00948_14h30.JPG,1,0,2739,5185,2401.664769833058,2971.558315025947,1191,3397,1234.7074164060878,1769.0990201622747,3293.8354542994402,781.2509449707111
28,DSC00948_14h30.JPG,1,2,2739,291,2401.664769833058,782.547826789353,1191,1373,1234.7074164060878,1671.603988038549,2454.7561997070097,1677.0266216000837
29,DSC00948_14h30.JPG,1,3,2739,902,2401.664769833058,817.7687310236951,1191,2730,1234.7074164060878,2788.0660578436336,2396.4744939180973,2218.4791481293414
30,DSC00948_14h30.JPG,2,0,291,5185,782.547826789353,2971.558315025947,1373,3397,1671.603988038549,1769.0990201622747,5296.018504499394,2191.1805491329596
31,DSC00948_14h30.JPG,2,1,291,2739,782.547826789353,2401.664769833058,1373,1191,1671.603988038549,1234.7074164060878,2454.7561997070097,1677.0266216000837
32,DSC00948_14h30.JPG,2,3,291,902,782.547826789353,817.7687310236951,1373,2730,1671.603988038549,2788.0660578436336,1488.2103345965584,1117.0174866171694
33,DSC00948_14h30.JPG,3,0,902,5185,817.7687310236951,2971.558315025947,2730,3397,2788.0660578436336,1769.0990201622747,4334.625474017334,2382.667286055214
34,DSC00948_14h30.JPG,3,1,902,2739,817.7687310236951,2401.664769833058,2730,1191,2788.0660578436336,1234.7074164060878,2396.4744939180973,2218.4791481293414
35,DSC00948_14h30.JPG,3,2,902,291,817.7687310236951,782.547826789353,2730,1373,2788.0660578436336,1671.603988038549,1488.2103345965584,1117.0174866171694
36,DSC00970_15h30.JPG,0,1,4451,1581,2971.558315025947,2401.664769833058,874,2246,1769.0990201622747,1234.7074164060878,3181.082205790979,781.2509449707111
37,DSC00970_15h30.JPG,0,2,4451,4464,2971.558315025947,782.547826789353,874,970,1769.0990201622747,1671.603988038549,96.87620966986684,2191.1805491329596
38,DSC00970_15h30.JPG,0,3,4451,711,2971.558315025947,817.7687310236951,874,2773,1769.0990201622747,2788.0660578436336,4194.496513289765,2382.667286055214
39,DSC00970_15h30.JPG,1,0,1581,4451,2401.664769833058,2971.558315025947,2246,874,1234.7074164060878,1769.0990201622747,3181.082205790979,781.2509449707111
40,DSC00970_15h30.JPG,1,2,1581,4464,2401.664769833058,782.547826789353,2246,970,1234.7074164060878,1671.603988038549,3152.755144314255,1677.0266216000837
41,DSC00970_15h30.JPG,1,3,1581,711,2401.664769833058,817.7687310236951,2246,2773,1234.7074164060878,2788.0660578436336,1017.1671445735947,2218.4791481293414
42,DSC00970_15h30.JPG,2,0,4464,4451,782.547826789353,2971.558315025947,970,874,1671.603988038549,1769.0990201622747,96.87620966986684,2191.1805491329596
43,DSC00970_15h30.JPG,2,1,4464,1581,782.547826789353,2401.664769833058,970,2246,1671.603988038549,1234.7074164060878,3152.755144314255,1677.0266216000837
44,DSC00970_15h30.JPG,2,3,4464,711,782.547826789353,817.7687310236951,970,2773,1671.603988038549,2788.0660578436336,4163.630387054067,1117.0174866171694
45,DSC00970_15h30.JPG,3,0,711,4451,817.7687310236951,2971.558315025947,2773,874,2788.0660578436336,1769.0990201622747,4194.496513289765,2382.667286055214
46,DSC00970_15h30.JPG,3,1,711,1581,817.7687310236951,2401.664769833058,2773,2246,2788.0660578436336,1234.7074164060878,1017.1671445735947,2218.4791481293414
47,DSC00970_15h30.JPG,3,2,711,4464,817.7687310236951,782.547826789353,2773,970,2788.0660578436336,1671.603988038549,4163.630387054067,1117.0174866171694
48,DSC00974_16h30.JPG,0,1,3119,2266,2971.558315025947,2401.664769833058,1778,2414,1769.0990201622747,1234.7074164060878,1064.0042293149027,781.2509449707111
49,DSC00974_16h30.JPG,0,2,3119,941,2971.558315025947,782.547826789353,1778,1657,1769.0990201622747,1671.603988038549,2181.3585216557135,2191.1805491329596
50,DSC00974_16h30.JPG,0,3,3119,964,2971.558315025947,817.7687310236951,1778,2772,1769.0990201622747,2788.0660578436336,2373.196367770691,2382.667286055214
51,DSC00974_16h30.JPG,1,0,2266,3119,2401.664769833058,2971.558315025947,2414,1778,1234.7074164060878,1769.0990201622747,1064.0042293149027,781.2509449707111
52,DSC00974_16h30.JPG,1,2,2266,941,2401.664769833058,782.547826789353,2414,1657,1234.7074164060878,1671.603988038549,1525.9993446918645,1677.0266216000837
53,DSC00974_16h30.JPG,1,3,2266,964,2401.664769833058,817.7687310236951,2414,2772,1234.7074164060878,2788.0660578436336,1350.3214432126892,2218.4791481293414
